Time;Acceleration;Velocity;Distance
0.0000;0.0000;0.3881;0.0970
0.5000;15.633;15.458;0.5805
10.000;30.244;33.503;18.045
15.000;41.175;55.818;40.375
20.000;47.279;80.076;74.349
25.000;49.204;104.700;120.542
30.000;49.234;129.552;179.105
35.000;50.727;156.276;250.562
40.000;57.296;188.199;336.681
45.000;71.924;229.823;441.187
50.000;96.232;286.032;570.150
55.000;130.084;361.195;731.957
60.000;171.618;458.411;936.858
65.000;217.704;579.050;1.196.224
70.000;264.710;722.726;1.521.667
75.000;309.390;887.698;1.924.274
80.000;349.681;1.071.602;2.414.099
85.000;385.205;1.272.334;3.000.083
90.000;417.364;1.488.873;3.690.384
95.000;448.995;1.721.839;4.493.063
100.000;483.679;1.973.641;5.416.933
